Ind,Y1,Y2,X1,X2,A,B,X3
Ind,Normal,Normal,Numeric,Numeric,Nominal,Nominal,Numeric
HG00096,1.015410634,0.093613891,1.047285025,-0.445228371,2,4,0.285490786
HG00097,-0.532456991,-1.226521798,-0.578021403,-0.111442277,1,2,0.300612645
HG00099,1.325413304,2.373498848,0.008103491,0.034328784,2,1,0.229926422
HG00100,-1.098456858,-1.859855633,0.49283797,-1.657065664,3,4,0.14213647
HG00101,-0.389539848,0.888857569,-0.51454435,-1.19376,2,6,0.059026292
HG00102,1.27158767,-0.494953433,-0.284069143,0.965697591,1,5,0.335492159
HG00103,-0.953110957,-0.371876727,0.385674434,-0.040603138,4,3,0.63422251
HG00105,1.128717179,-0.760556567,-0.630056865,0.774169718,5,4,0.812088923
HG00106,-1.14951536,-0.294790162,0.816154967,-0.367983432,2,1,0.73590234
HG00107,-0.59246805,-0.438069665,-0.16024217,0.364534961,3,4,0.055828866
HG00108,-1.225709545,1.130059803,-1.100407786,0.342717283,4,5,0.393724284
HG00109,-0.610434248,-0.31057252,0.799937205,-0.418582487,5,3,0.243055819
HG00110,0.715344833,-0.427374762,0.484273556,-1.115894377,4,3,0.898563385
HG00111,2.247263465,0.556411549,0.043259209,-0.539348196,5,6,0.059855973
HG00112,-0.778733428,1.110569692,-0.874570012,-0.177287989,5,3,0.051135846
HG00113,-0.509860489,1.159057129,-0.561866375,1.02749472,1,4,0.469561475
HG00114,-1.098904043,-0.635777416,1.057279551,-0.382533198,3,2,0.506282823
HG00115,-0.993717579,-2.051391345,1.110633534,-0.838425031,2,3,0.288596509
HG00116,-1.086211832,0.029211422,-2.438632719,-2.463341802,3,6,0.954812334
HG00117,1.153142542,-0.497717491,0.358150801,-0.991974583,1,5,0.773128539
HG00118,-1.682519796,0.147262702,1.39616868,-1.404426233,1,2,0.3261485
HG00119,0.881467149,-1.582779511,0.407719122,0.262727091,3,2,0.274542693
HG00120,-0.145795579,0.161425784,0.246275364,-0.179982881,2,6,0.868249866
HG00121,-1.134734309,-0.865410024,-0.808733739,-0.842928813,2,2,0.665434386
HG00122,2.077616616,0.22101245,1.130034421,-0.322611242,1,1,0.584173192
HG00123,-0.925734286,-1.989190854,0.875394912,-0.612943229,4,2,0.105040061
HG00125,-0.364552814,0.077865961,-0.995157615,-0.750370987,4,3,0.031099918
HG00126,-0.957418121,-0.690976845,1.124130099,-0.493777889,4,2,0.088247191
HG00127,-0.059202728,0.977451258,0.782567521,-1.120842888,3,2,0.454244095
HG00128,-0.314398827,0.449826769,1.584075364,0.202525083,5,3,0.869667902
HG00129,0.613803328,0.098811232,0.690088035,-0.737466512,5,4,0.78647964
HG00130,0.622529188,-2.489270134,0.326783619,-0.433067005,2,5,0.444048613
